# Pathway	H9.humann2_Abundance
PWY0-301: L-ascorbate degradation I (bacterial, anaerobic)|g__Lactobacillus.s__Lactobacillus_crispatus	34.0161398456
PWY0-301: L-ascorbate degradation I (bacterial, anaerobic)|unclassified	11.9706655157
PWY0-301: L-ascorbate degradation I (bacterial, anaerobic)|g__Staphylococcus.s__Staphylococcus_epidermidis	4.0899795501
PWY0-301: L-ascorbate degradation I (bacterial, anaerobic)|g__Methylobacterium.s__Methylobacterium_extorquens	2.7964205817
PWY0-301: L-ascorbate degradation I (bacterial, anaerobic)|g__Staphylococcus.s__Staphylococcus_hominis	2.0387359837
PWY0-301: L-ascorbate degradation I (bacterial, anaerobic)|g__Bacteroides.s__Bacteroides_vulgatus	1.5255530130
PWY0-301: L-ascorbate degradation I (bacterial, anaerobic)|g__Methyloversatilis.s__Methyloversatilis_universalis	1.1990407674
PWY0-301: L-ascorbate degradation I (bacterial, anaerobic)|g__Methylobacterium.s__Methylobacterium_populi	1.1185682327
PWY0-301: L-ascorbate degradation I (bacterial, anaerobic)|g__Acinetobacter.s__Acinetobacter_johnsonii	1.0964912281
PWY0-301: L-ascorbate degradation I (bacterial, anaerobic)|g__Staphylococcus.s__Staphylococcus_lugdunensis	1.0224948875
PWY0-301: L-ascorbate degradation I (bacterial, anaerobic)|g__Anaerococcus.s__Anaerococcus_vaginalis	0.9389671362
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	54.7298040051
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|unclassified	15.2579857514
ARO-PWY: chorismate biosynthesis I	54.2655411052
ARO-PWY: chorismate biosynthesis I|unclassified	17.2286451208
GLYCOLYSIS: glycolysis I (from glucose-6P)	53.5961701653
GLYCOLYSIS: glycolysis I (from glucose-6P)|unclassified	14.0463156546
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	53.5520616082
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|unclassified	18.6931183115
PWY-2942: lysine biosynthesis III	53.0627312405
PWY-2942: lysine biosynthesis III|unclassified	15.7172987256
PWY-2942: lysine biosynthesis III|g__Corynebacterium.s__Corynebacterium_amycolatum	4.0774719674
PWY-2942: lysine biosynthesis III|g__Prevotella.s__Prevotella_bivia	3.3333333333
PWY-2942: lysine biosynthesis III|g__Bacteroides.s__Bacteroides_vulgatus	3.1867101030
PWY-2942: lysine biosynthesis III|g__Blautia.s__Ruminococcus_torques	2.0263424519
PWY-2942: lysine biosynthesis III|g__Micrococcus.s__Micrococcus_luteus	1.2870012870
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	53.0236351074
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|unclassified	8.3298030861
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Staphylococcus.s__Staphylococcus_epidermidis	4.3559924845
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Prevotella.s__Prevotella_bivia	1.3400335008
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Bacteroides.s__Bacteroides_eggerthii	1.1285737741
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	52.6204282652
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|unclassified	17.0992842183
PWY66-399: gluconeogenesis III	52.0712613126
PWY66-399: gluconeogenesis III|unclassified	21.5237451073
PWY-7301: dTDP-&beta;-L-noviose biosynthesis	51.9092553019
PWY-7301: dTDP-&beta;-L-noviose biosynthesis|unclassified	19.7609587175
THRESYN-PWY: threonine biosynthesis	51.5114089630
THRESYN-PWY: threonine biosynthesis|unclassified	11.4638445706
THRESYN-PWY: threonine biosynthesis|g__Corynebacterium.s__Corynebacterium_tuberculostearicum	3.4497018331
THRESYN-PWY: threonine biosynthesis|g__Corynebacterium.s__Corynebacterium_pseudogenitalium	1.8560030807
SO4ASSIM-PWY: sulfate reduction I (assimilatory)	50.3630792214
SO4ASSIM-PWY: sulfate reduction I (assimilatory)|unclassified	17.5372906084
SO4ASSIM-PWY: sulfate reduction I (assimilatory)|g__Bacteroides.s__Bacteroides_uniformis	3.5525091399
SO4ASSIM-PWY: sulfate reduction I (assimilatory)|g__Staphylococcus.s__Staphylococcus_epidermidis	2.8860028860
SO4ASSIM-PWY: sulfate reduction I (assimilatory)|g__Bacteroides.s__Bacteroides_vulgatus	2.2720829535
SO4ASSIM-PWY: sulfate reduction I (assimilatory)|g__Staphylococcus.s__Staphylococcus_caprae_capitis	1.8237082067
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	49.5892662496
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|unclassified	21.0220511557
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Corynebacterium.s__Corynebacterium_aurimucosum	4.8997518651
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Corynebacterium.s__Corynebacterium_tuberculostearicum	2.6510832658
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Eubacterium.s__Eubacterium_rectale	1.5069703209
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Pseudomonas.s__Pseudomonas_putida	1.3263043824
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0.9806325080
PWY-2941: lysine biosynthesis II	49.0974849515
PWY-2941: lysine biosynthesis II|g__Lactobacillus.s__Lactobacillus_crispatus	17.0005203580
PWY-2941: lysine biosynthesis II|unclassified	5.6525871735
PWY-2941: lysine biosynthesis II|g__Staphylococcus.s__Staphylococcus_epidermidis	2.5384737427
PWY-5484: glycolysis II (from fructose-6P)	49.0064556775
PWY-5484: glycolysis II (from fructose-6P)|unclassified	13.2010451110
TCA-GLYOX-BYPASS: superpathway of glyoxylate bypass and TCA	48.6538514163
TCA-GLYOX-BYPASS: superpathway of glyoxylate bypass and TCA|unclassified	11.8380519865
TCA-GLYOX-BYPASS: superpathway of glyoxylate bypass and TCA|g__Acinetobacter.s__Acinetobacter_pittii_calcoaceticus_nosocomialis	0.9606155748
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-DAP-containing)	48.5482410457
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-DAP-containing)|unclassified	13.5744293128
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	48.5318427432
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|unclassified	12.2719507082
PWY-6123: inosine-5'-phosphate biosynthesis I	44.9814901147
PWY-6123: inosine-5'-phosphate biosynthesis I|unclassified	16.9620725701
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Pseudomonas.s__Pseudomonas_putida	2.5375723278
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Corynebacterium.s__Corynebacterium_aurimucosum	2.4417192160
PWY-5749: itaconate degradation	44.3659979304
PWY-5749: itaconate degradation|unclassified	15.8241341242
PWY-5749: itaconate degradation|g__Acinetobacter.s__Acinetobacter_pittii_calcoaceticus_nosocomialis	5.6116722783
PWY-5749: itaconate degradation|g__Enhydrobacter.s__Enhydrobacter_aerosaccus	5.5370985604
PWY-5749: itaconate degradation|g__Staphylococcus.s__Staphylococcus_epidermidis	5.5005500550
PWY-5749: itaconate degradation|g__Methylobacterium.s__Methylobacterium_extorquens	4.4893378227
PWY-5749: itaconate degradation|g__Gordonia.s__Gordonia_otitidis	2.2148394241
PWY-5749: itaconate degradation|g__Staphylococcus.s__Staphylococcus_hominis	2.2075055188
PWY-5749: itaconate degradation|g__Staphylococcus.s__Staphylococcus_caprae_capitis	2.2002200220
PWY-5749: itaconate degradation|g__Malassezia.s__Malassezia_globosa	0.7806401249
PWY-6383: mono-trans, poly-cis decaprenyl phosphate biosynthesis	43.4346518241
PWY-6383: mono-trans, poly-cis decaprenyl phosphate biosynthesis|g__Propionibacterium.s__Propionibacterium_acnes	17.6561203934
PWY-6383: mono-trans, poly-cis decaprenyl phosphate biosynthesis|unclassified	7.0105800694
PWY-6383: mono-trans, poly-cis decaprenyl phosphate biosynthesis|g__Micrococcus.s__Micrococcus_luteus	2.5839793282
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	43.2596758230
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|unclassified	10.0433997259
PWY-724: superpathway of lysine, threonine and methionine biosynthesis II	42.7030007177
PWY-724: superpathway of lysine, threonine and methionine biosynthesis II|unclassified	12.6716879725
PWY-6737: starch degradation V	42.6466976507
PWY-6737: starch degradation V|unclassified	13.2861550650
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)	42.1999696445
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)|unclassified	11.0135928113
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)|g__Gordonia.s__Gordonia_otitidis	3.3605206549
PWY-7230: ubiquinol-6 biosynthesis from 4-aminobenzoate (eukaryotic)	41.0946928710
PWY-7230: ubiquinol-6 biosynthesis from 4-aminobenzoate (eukaryotic)|unclassified	10.5792478280
PWY-7230: ubiquinol-6 biosynthesis from 4-aminobenzoate (eukaryotic)|g__Enhydrobacter.s__Enhydrobacter_aerosaccus	5.0251256281
P108-PWY: pyruvate fermentation to propionate I	40.7006117801
P108-PWY: pyruvate fermentation to propionate I|g__Propionibacterium.s__Propionibacterium_acnes	7.9706548580
P108-PWY: pyruvate fermentation to propionate I|g__Methylobacterium.s__Methylobacterium_extorquens	5.9972155458
P108-PWY: pyruvate fermentation to propionate I|unclassified	5.6566341308
P108-PWY: pyruvate fermentation to propionate I|g__Methylobacterium.s__Methylobacterium_populi	2.5938892420
P108-PWY: pyruvate fermentation to propionate I|g__Blautia.s__Ruminococcus_obeum	1.8666383268
P108-PWY: pyruvate fermentation to propionate I|g__Corynebacterium.s__Corynebacterium_kroppenstedtii	0.6523157208
P4-PWY: superpathway of lysine, threonine and methionine biosynthesis I	39.5060188375
P4-PWY: superpathway of lysine, threonine and methionine biosynthesis I|unclassified	10.0024964355
ANAEROFRUCAT-PWY: homolactic fermentation	39.3237644768
ANAEROFRUCAT-PWY: homolactic fermentation|unclassified	7.5908677532
COA-PWY: coenzyme A biosynthesis	38.7320151776
COA-PWY: coenzyme A biosynthesis|g__Propionibacterium.s__Propionibacterium_acnes	9.9701196543
COA-PWY: coenzyme A biosynthesis|unclassified	8.2494406609
PWY-5514: UDP-N-acetyl-D-galactosamine biosynthesis II	38.5973129810
PWY-5514: UDP-N-acetyl-D-galactosamine biosynthesis II|unclassified	5.9492241874
PWY-5514: UDP-N-acetyl-D-galactosamine biosynthesis II|g__Bacteroides.s__Bacteroides_eggerthii	1.0139416984
PWY-841: superpathway of purine nucleotides de novo biosynthesis I	38.2949790882
PWY-841: superpathway of purine nucleotides de novo biosynthesis I|unclassified	19.0978713668
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	37.5177262125
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|unclassified	14.7787540433
PWY-6282: palmitoleate biosynthesis I	37.4935483048
PWY-6282: palmitoleate biosynthesis I|unclassified	10.2190110228
PWY-6282: palmitoleate biosynthesis I|g__Enhydrobacter.s__Enhydrobacter_aerosaccus	5.7406504988
PWY-6282: palmitoleate biosynthesis I|g__Methylobacterium.s__Methylobacterium_extorquens	2.5332420995
PWY-6282: palmitoleate biosynthesis I|g__Methylobacterium.s__Methylobacterium_populi	1.8597836396
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	37.4084635632
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|unclassified	16.7143496753
PWY-5097: lysine biosynthesis VI	37.2350223928
PWY-5097: lysine biosynthesis VI|unclassified	13.9451356079
PWY0-781: aspartate superpathway	36.6720758950
PWY0-781: aspartate superpathway|unclassified	10.1989045680
PWY-6936: seleno-amino acid biosynthesis	36.4271724163
PWY-6936: seleno-amino acid biosynthesis|unclassified	12.4789393990
PWY-7254: TCA cycle VII (acetate-producers)	34.7111838014
PWY-7254: TCA cycle VII (acetate-producers)|g__Corynebacterium.s__Corynebacterium_tuberculostearicum	3.7456204578
PWY-7254: TCA cycle VII (acetate-producers)|g__Corynebacterium.s__Corynebacterium_pseudogenitalium	3.1456419819
PWY-7212: baicalein metabolism	34.3836190998
PWY-7212: baicalein metabolism|unclassified	15.4326567562
PWY-7212: baicalein metabolism|g__Acinetobacter.s__Acinetobacter_pittii_calcoaceticus_nosocomialis	2.1097046414
PWYG-321: mycolate biosynthesis	33.6502126855
PWYG-321: mycolate biosynthesis|unclassified	9.1210322859
GLYOXYLATE-BYPASS: glyoxylate cycle	33.4540813177
GLYOXYLATE-BYPASS: glyoxylate cycle|unclassified	7.7482110991
GLYOXYLATE-BYPASS: glyoxylate cycle|g__Enhydrobacter.s__Enhydrobacter_aerosaccus	6.7282692803
GLYOXYLATE-BYPASS: glyoxylate cycle|g__Corynebacterium.s__Corynebacterium_amycolatum	4.7363435428
GLYOXYLATE-BYPASS: glyoxylate cycle|g__Gordonia.s__Gordonia_otitidis	2.7222789364
LEU-DEG2-PWY: leucine degradation I	33.3905799378
LEU-DEG2-PWY: leucine degradation I|unclassified	6.7225597938
LEU-DEG2-PWY: leucine degradation I|g__Enhydrobacter.s__Enhydrobacter_aerosaccus	4.4364030852
LEU-DEG2-PWY: leucine degradation I|g__Stenotrophomonas.s__Stenotrophomonas_maltophilia	3.8944669108
LEU-DEG2-PWY: leucine degradation I|g__Gordonia.s__Gordonia_otitidis	2.6535756932
LEU-DEG2-PWY: leucine degradation I|g__Acinetobacter.s__Acinetobacter_pittii_calcoaceticus_nosocomialis	2.4968789014
LEU-DEG2-PWY: leucine degradation I|g__Micrococcus.s__Micrococcus_luteus	1.2114429740
LEU-DEG2-PWY: leucine degradation I|g__Acinetobacter.s__Acinetobacter_johnsonii	1.1398176292
PWY66-422: D-galactose degradation V (Leloir pathway)	33.2530344443
PWY66-422: D-galactose degradation V (Leloir pathway)|g__Lactobacillus.s__Lactobacillus_crispatus	20.1262854307
PWY66-422: D-galactose degradation V (Leloir pathway)|unclassified	5.8785636016
PWY-6471: peptidoglycan biosynthesis IV (Enterococcus faecium)	32.4930628348
PWY-6471: peptidoglycan biosynthesis IV (Enterococcus faecium)|unclassified	3.6197250526
PWY-7386: superpathway of lipoate biosynthesis and incorporation (PDH, KGDH, GCV, yeast)	32.2115155383
PWY-7386: superpathway of lipoate biosynthesis and incorporation (PDH, KGDH, GCV, yeast)|unclassified	4.2234107899
PWY-7386: superpathway of lipoate biosynthesis and incorporation (PDH, KGDH, GCV, yeast)|g__Corynebacterium.s__Corynebacterium_amycolatum	1.4004065180
PENTOSE-P-PWY: pentose phosphate pathway	31.9757312828
PENTOSE-P-PWY: pentose phosphate pathway|unclassified	10.2106917876
HISHP-PWY: histidine degradation VI	31.9541114782
HISHP-PWY: histidine degradation VI|unclassified	10.1972059608
PWY-6151: S-adenosyl-L-methionine cycle I	31.8737426575
PWY-6151: S-adenosyl-L-methionine cycle I|unclassified	5.7841502324
PWY-6151: S-adenosyl-L-methionine cycle I|g__Staphylococcus.s__Staphylococcus_hominis	3.3337857510
PWY-5973: cis-vaccenate biosynthesis	31.6130604158
PWY-5973: cis-vaccenate biosynthesis|unclassified	7.8079733200
PWY-5973: cis-vaccenate biosynthesis|g__Enhydrobacter.s__Enhydrobacter_aerosaccus	5.7952350290
PWY-5973: cis-vaccenate biosynthesis|g__Methylobacterium.s__Methylobacterium_extorquens	3.0249462013
SER-GLYSYN-PWY: superpathway of serine and glycine biosynthesis I	31.4771954159
SER-GLYSYN-PWY: superpathway of serine and glycine biosynthesis I|unclassified	10.8282177701
SER-GLYSYN-PWY: superpathway of serine and glycine biosynthesis I|g__Corynebacterium.s__Corynebacterium_amycolatum	2.5791245756
FASYN-ELONG-PWY: fatty acid elongation -- saturated	31.4211676457
FASYN-ELONG-PWY: fatty acid elongation -- saturated|unclassified	8.4678205424
FASYN-ELONG-PWY: fatty acid elongation -- saturated|g__Enhydrobacter.s__Enhydrobacter_aerosaccus	3.1289293159
FASYN-ELONG-PWY: fatty acid elongation -- saturated|g__Methylobacterium.s__Methylobacterium_extorquens	2.0776488264
PWY-5347: superpathway of methionine biosynthesis (transsulfuration)	31.4012720023
PWY-5347: superpathway of methionine biosynthesis (transsulfuration)|unclassified	8.2403451035
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis	31.2799465882
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis|unclassified	8.1791684603
PWY-7115: C4 photosynthetic carbon assimilation cycle, NAD-ME type	30.8298993684
PWY-7115: C4 photosynthetic carbon assimilation cycle, NAD-ME type|unclassified	7.9980364199
PWY-7117: C4 photosynthetic carbon assimilation cycle, PEPCK type	30.8105712992
PWY-7117: C4 photosynthetic carbon assimilation cycle, PEPCK type|unclassified	10.7217424472
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I	30.3435708787
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|unclassified	9.7002964419
GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	30.2072208993
GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass|unclassified	11.1394897615
ARGININE-SYN4-PWY: ornithine de novo  biosynthesis	30.0932899692
ARGININE-SYN4-PWY: ornithine de novo  biosynthesis|unclassified	9.8693568935
PWY0-1296: purine ribonucleosides degradation	29.8384827428
PWY0-1296: purine ribonucleosides degradation|unclassified	9.6881026718
PWY-6708: ubiquinol-8 biosynthesis (prokaryotic)	29.8122129656
PWY-6708: ubiquinol-8 biosynthesis (prokaryotic)|unclassified	8.9591795739
PWY-6708: ubiquinol-8 biosynthesis (prokaryotic)|g__Enhydrobacter.s__Enhydrobacter_aerosaccus	8.7336244541
PWY-6708: ubiquinol-8 biosynthesis (prokaryotic)|g__Acinetobacter.s__Acinetobacter_pittii_calcoaceticus_nosocomialis	4.2016806723
PWY-6708: ubiquinol-8 biosynthesis (prokaryotic)|g__Methylobacterium.s__Methylobacterium_extorquens	4.0650406504
PWY0-42: 2-methylcitrate cycle I	29.7185256995
PWY0-42: 2-methylcitrate cycle I|unclassified	10.2483193479
PWY0-42: 2-methylcitrate cycle I|g__Corynebacterium.s__Corynebacterium_aurimucosum	5.7243910258
PWY0-42: 2-methylcitrate cycle I|g__Micrococcus.s__Micrococcus_luteus	2.6195153897
PWY0-42: 2-methylcitrate cycle I|g__Corynebacterium.s__Corynebacterium_pseudogenitalium	2.4393218685
PWY0-42: 2-methylcitrate cycle I|g__Gordonia.s__Gordonia_otitidis	2.1153766820
PWY0-42: 2-methylcitrate cycle I|g__Pseudomonas.s__Pseudomonas_putida	1.3468013468
PWY0-42: 2-methylcitrate cycle I|g__Malassezia.s__Malassezia_globosa	1.0825439783
PWY0-42: 2-methylcitrate cycle I|g__Stenotrophomonas.s__Stenotrophomonas_maltophilia	1.0345027860
PWY0-42: 2-methylcitrate cycle I|g__Kocuria.s__Kocuria_rhizophila	1.0111113398
PWY0-42: 2-methylcitrate cycle I|g__Corynebacterium.s__Corynebacterium_jeikeium	0.6680026720
PWY0-42: 2-methylcitrate cycle I|g__Corynebacterium.s__Corynebacterium_massiliense	0.6613756614
METSYN-PWY: homoserine and methionine biosynthesis	29.4669879771
METSYN-PWY: homoserine and methionine biosynthesis|unclassified	7.5793722730
PWY-6703: preQ0 biosynthesis	29.4582984372
PWY-6703: preQ0 biosynthesis|unclassified	6.3359925098
PWY-6703: preQ0 biosynthesis|g__Staphylococcus.s__Staphylococcus_hominis	4.1814037406
PWY-5103: isoleucine biosynthesis III	29.3205798261
PWY-5103: isoleucine biosynthesis III|unclassified	16.4179047957
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	29.0498370347
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I|unclassified	3.1381376078
PWY-6901: superpathway of glucose and xylose degradation	28.5745313751
PWY-6901: superpathway of glucose and xylose degradation|unclassified	10.4466840626
CITRULBIO-PWY: citrulline biosynthesis	28.4943738738
CITRULBIO-PWY: citrulline biosynthesis|unclassified	13.8335690701
PWY-5154: arginine biosynthesis III (via N-acetyl-L-citrulline)	28.1754303150
PWY-5154: arginine biosynthesis III (via N-acetyl-L-citrulline)|unclassified	9.6590237529
PWY-5154: arginine biosynthesis III (via N-acetyl-L-citrulline)|g__Stenotrophomonas.s__Stenotrophomonas_maltophilia	2.0356234097
PWY-5154: arginine biosynthesis III (via N-acetyl-L-citrulline)|g__Bacteroides.s__Bacteroides_massiliensis	0.7019165629
SULFATE-CYS-PWY: superpathway of sulfate assimilation and cysteine biosynthesis	27.8607967416
SULFATE-CYS-PWY: superpathway of sulfate assimilation and cysteine biosynthesis|unclassified	6.1042921110
PWY-5913: TCA cycle VI (obligate autotrophs)	27.8009085876
PWY-5913: TCA cycle VI (obligate autotrophs)|unclassified	12.3323445289
PWY-5913: TCA cycle VI (obligate autotrophs)|g__Corynebacterium.s__Corynebacterium_aurimucosum	1.1289092992
PWY-6897: thiamin salvage II	27.5212438908
PWY-6897: thiamin salvage II|unclassified	6.5942577516
PWY-6897: thiamin salvage II|g__Staphylococcus.s__Staphylococcus_hominis	1.4793058849
PWY-6630: superpathway of tyrosine biosynthesis	27.1031435890
PWY-6630: superpathway of tyrosine biosynthesis|unclassified	11.6395673003
PWY-5855: ubiquinol-7 biosynthesis (prokaryotic)	26.5447795748
PWY-5855: ubiquinol-7 biosynthesis (prokaryotic)|unclassified	9.0639322258
PWY-5855: ubiquinol-7 biosynthesis (prokaryotic)|g__Enhydrobacter.s__Enhydrobacter_aerosaccus	8.8105726872
PWY-5855: ubiquinol-7 biosynthesis (prokaryotic)|g__Acinetobacter.s__Acinetobacter_pittii_calcoaceticus_nosocomialis	2.6978417266
PWY-5855: ubiquinol-7 biosynthesis (prokaryotic)|g__Methylobacterium.s__Methylobacterium_extorquens	2.6824280197
PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation	26.3000052828
PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation|unclassified	14.0597558083
HISDEG-PWY: histidine degradation I	25.8441693637
HISDEG-PWY: histidine degradation I|unclassified	8.7628370803
HISDEG-PWY: histidine degradation I|g__Micrococcus.s__Micrococcus_luteus	0.8217224800
PWY-5104: isoleucine biosynthesis IV	25.5726776159
PWY-5104: isoleucine biosynthesis IV|unclassified	5.5465492409
PWY-5104: isoleucine biosynthesis IV|g__Anaerococcus.s__Anaerococcus_hydrogenalis	2.4091381574
PWY-5104: isoleucine biosynthesis IV|g__Varibaculum.s__Varibaculum_cambriense	1.7361111111
PWY-5104: isoleucine biosynthesis IV|g__Anaerococcus.s__Anaerococcus_vaginalis	0.8418557068
PWY-5104: isoleucine biosynthesis IV|g__Anaerococcus.s__Anaerococcus_prevotii	0.7099201821
PWY-6945: cholesterol degradation to androstenedione I (cholesterol oxidase)	24.2203050870
PWY-6945: cholesterol degradation to androstenedione I (cholesterol oxidase)|g__Corynebacterium.s__Corynebacterium_amycolatum	8.1649855309
PWY-6945: cholesterol degradation to androstenedione I (cholesterol oxidase)|g__Gordonia.s__Gordonia_otitidis	5.6196042527
PWY-6945: cholesterol degradation to androstenedione I (cholesterol oxidase)|unclassified	4.2092567350
PANTO-PWY: phosphopantothenate biosynthesis I	23.3800461847
PANTO-PWY: phosphopantothenate biosynthesis I|unclassified	12.6784057486
PANTO-PWY: phosphopantothenate biosynthesis I|g__Methylobacterium.s__Methylobacterium_populi	1.0378827193
PWY-6527: stachyose degradation	22.9308666258
PWY-6527: stachyose degradation|unclassified	5.5489578544
PWY-5451: acetone degradation I (to methylglyoxal)	22.9140155119
PWY-5451: acetone degradation I (to methylglyoxal)|unclassified	7.1350866434
PWY-5100: pyruvate fermentation to acetate and lactate II	22.6647481657
PWY-5100: pyruvate fermentation to acetate and lactate II|unclassified	4.3048907969
GLYCOLYSIS-E-D: superpathway of glycolysis and Entner-Doudoroff	22.5070218152
GLYCOLYSIS-E-D: superpathway of glycolysis and Entner-Doudoroff|unclassified	8.0365380025
SALVADEHYPOX-PWY: adenosine nucleotides degradation II	22.0942831194
SALVADEHYPOX-PWY: adenosine nucleotides degradation II|unclassified	7.5089791814
SALVADEHYPOX-PWY: adenosine nucleotides degradation II|g__Acinetobacter.s__Acinetobacter_ursingii	1.4275517488
PWY-7478: oryzalexin D and E biosynthesis	21.7722751681
PWY-7478: oryzalexin D and E biosynthesis|unclassified	9.5086404941
PWY-7478: oryzalexin D and E biosynthesis|g__Enhydrobacter.s__Enhydrobacter_aerosaccus	9.0497737557
PWY-7478: oryzalexin D and E biosynthesis|g__Methylobacterium.s__Methylobacterium_extorquens	1.6415338743
PWY-7478: oryzalexin D and E biosynthesis|g__Acinetobacter.s__Acinetobacter_pittii_calcoaceticus_nosocomialis	1.5723270440
PWY-6946: cholesterol degradation to androstenedione II (cholesterol dehydrogenase)	21.5568734947
PWY-6946: cholesterol degradation to androstenedione II (cholesterol dehydrogenase)|unclassified	13.0267466843
PWY66-409: superpathway of purine nucleotide salvage	21.5030864439
PWY66-409: superpathway of purine nucleotide salvage|unclassified	11.7488506921
HOMOSER-METSYN-PWY: methionine biosynthesis I	21.4938642457
HOMOSER-METSYN-PWY: methionine biosynthesis I|unclassified	5.8483246500
PWY-5659: GDP-mannose biosynthesis	21.4575313185
PWY-5659: GDP-mannose biosynthesis|unclassified	7.6204619501
PWY-5659: GDP-mannose biosynthesis|g__Pseudomonas.s__Pseudomonas_putida	2.1665698840
PWY-7046: 4-coumarate degradation (anaerobic)	20.8059517943
PWY-7046: 4-coumarate degradation (anaerobic)|unclassified	6.9485714254
PWY-7046: 4-coumarate degradation (anaerobic)|g__Methylobacterium.s__Methylobacterium_extorquens	3.6123878174
PWY-7046: 4-coumarate degradation (anaerobic)|g__Gardnerella.s__Gardnerella_vaginalis	2.4213075061
PWY-7046: 4-coumarate degradation (anaerobic)|g__Lactobacillus.s__Lactobacillus_jensenii	0.4219409283
PWY-7046: 4-coumarate degradation (anaerobic)|g__Methylobacterium.s__Methylobacterium_populi	0.3170841919
PWY-3781: aerobic respiration (cytochrome c)	20.6208509864
PWY-3781: aerobic respiration (cytochrome c)|unclassified	17.2915729130
PWY-7279: aerobic respiration (cytochrome c) (yeast)	20.4283837599
PWY-7279: aerobic respiration (cytochrome c) (yeast)|unclassified	17.0594053202
PWY-6842: glutathione-mediated detoxification II	20.1929028834
PWY-6842: glutathione-mediated detoxification II|unclassified	3.3060327659
PYRIDNUCSYN-PWY: NAD biosynthesis I (from aspartate)	20.1422659445
PYRIDNUCSYN-PWY: NAD biosynthesis I (from aspartate)|unclassified	7.6636425645
OXIDATIVEPENT-PWY: pentose phosphate pathway (oxidative branch) I	19.2169913997
OXIDATIVEPENT-PWY: pentose phosphate pathway (oxidative branch) I|unclassified	8.0110944085
PWY-5971: palmitate biosynthesis II (bacteria and plants)	18.4832519091
PWY-5971: palmitate biosynthesis II (bacteria and plants)|unclassified	7.1774338329
PWY-4221: pantothenate and coenzyme A biosynthesis II	18.4651588757
PWY-4221: pantothenate and coenzyme A biosynthesis II|unclassified	7.4640388905
PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)	17.9971958738
PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)|unclassified	7.8179009199
