# Pathway	A4.humann2_Abundance
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Pseudomonas.s__Pseudomonas_psychrotolerans	1.0030090928
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Fusobacterium.s__Fusobacterium_periodonticum	0.8929373430
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Streptococcus.s__Streptococcus_cristatus	0.7379842977
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Granulicatella.s__Granulicatella_adiacens	0.6878525244
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Haemophilus.s__Haemophilus_influenzae	0.5958405174
PWY-7219: adenosine ribonucleotides de novo biosynthesis	406.9742288051
PWY-7219: adenosine ribonucleotides de novo biosynthesis|unclassified	43.5492191458
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	41.3233730037
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Streptococcus.s__Streptococcus_sanguinis	16.4855807086
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Haemophilus.s__Haemophilus_parainfluenzae	10.7293869403
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Streptococcus.s__Streptococcus_thermophilus	10.6222208594
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Staphylococcus.s__Staphylococcus_epidermidis	8.8636010117
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Enhydrobacter.s__Enhydrobacter_aerosaccus	8.2347814951
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Staphylococcus.s__Staphylococcus_hominis	7.4342445966
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Veillonella.s__Veillonella_parvula	6.0025551090
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Lactococcus.s__Lactococcus_lactis	5.6070447678
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Streptococcus.s__Streptococcus_salivarius	3.1008667032
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Streptococcus.s__Streptococcus_parasanguinis	3.0549895596
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Streptococcus.s__Streptococcus_infantis	2.6313946265
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Lautropia.s__Lautropia_mirabilis	2.5059129604
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Lactobacillus.s__Lactobacillus_curvatus	2.4290922746
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Pseudomonas.s__Pseudomonas_psychrotolerans	2.1274570965
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Neisseria.s__Neisseria_sicca	2.0607031227
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Haemophilus.s__Haemophilus_haemolyticus	2.0010257112
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Fusobacterium.s__Fusobacterium_periodonticum	1.9851022480
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Malassezia.s__Malassezia_globosa	1.8476340842
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Veillonella.s__Veillonella_dispar	1.7817379736
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Gemella.s__Gemella_haemolysans	1.6228234872
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Granulicatella.s__Granulicatella_elegans	1.5891934843
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Neisseria.s__Neisseria_macacae	1.2338013685
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Finegoldia.s__Finegoldia_magna	1.1425307055
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Staphylococcus.s__Staphylococcus_caprae_capitis	1.0105061548
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Haemophilus.s__Haemophilus_paraphrohaemolyticus	0.9378160865
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Streptococcus.s__Streptococcus_australis	0.9075831936
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Veillonella.s__Veillonella_atypica	0.8506676520
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Haemophilus.s__Haemophilus_influenzae	0.7211058386
NONMEVIPP-PWY: methylerythritol phosphate pathway	401.7268423048
NONMEVIPP-PWY: methylerythritol phosphate pathway|g__Propionibacterium.s__Propionibacterium_acnes	264.6621308692
NONMEVIPP-PWY: methylerythritol phosphate pathway|unclassified	42.0202438629
NONMEVIPP-PWY: methylerythritol phosphate pathway|g__Haemophilus.s__Haemophilus_parainfluenzae	9.7822330616
NONMEVIPP-PWY: methylerythritol phosphate pathway|g__Corynebacterium.s__Corynebacterium_pseudogenitalium	8.4688403163
NONMEVIPP-PWY: methylerythritol phosphate pathway|g__Corynebacterium.s__Corynebacterium_tuberculostearicum	5.8969405069
NONMEVIPP-PWY: methylerythritol phosphate pathway|g__Enterobacter.s__Enterobacter_cloacae	2.5384698354
NONMEVIPP-PWY: methylerythritol phosphate pathway|g__Propionibacterium.s__Propionibacterium_granulosum	2.3453729143
NONMEVIPP-PWY: methylerythritol phosphate pathway|g__Pseudomonas.s__Pseudomonas_psychrotolerans	2.0483080910
NONMEVIPP-PWY: methylerythritol phosphate pathway|g__Corynebacterium.s__Corynebacterium_durum	1.6748080949
NONMEVIPP-PWY: methylerythritol phosphate pathway|g__Kocuria.s__Kocuria_rhizophila	1.4571948998
PWY-6531: mannitol cycle	393.8417623673
PWY-6531: mannitol cycle|g__Propionibacterium.s__Propionibacterium_acnes	231.2905596411
PWY-6531: mannitol cycle|unclassified	23.6644565108
PWY-6531: mannitol cycle|g__Micrococcus.s__Micrococcus_luteus	15.9277391705
PWY-6531: mannitol cycle|g__Corynebacterium.s__Corynebacterium_tuberculostearicum	8.3206555486
PWY-6531: mannitol cycle|g__Corynebacterium.s__Corynebacterium_accolens	8.3066155268
PWY-6531: mannitol cycle|g__Corynebacterium.s__Corynebacterium_pseudogenitalium	7.2899633759
PWY-6531: mannitol cycle|g__Actinomyces.s__Actinomyces_viscosus	3.5132907864
PWY-6531: mannitol cycle|g__Propionibacterium.s__Propionibacterium_avidum	2.5000000000
PWY-6531: mannitol cycle|g__Rothia.s__Rothia_aeria	1.9379844961
PWY-6531: mannitol cycle|g__Actinomyces.s__Actinomyces_naeslundii	1.6011603014
PWY-6531: mannitol cycle|g__Corynebacterium.s__Corynebacterium_jeikeium	1.2526321778
PWY-6531: mannitol cycle|g__Prevotella.s__Prevotella_melaninogenica	0.6082725061
PWY-5972: stearate biosynthesis I (animals)	392.8215379300
PWY-5972: stearate biosynthesis I (animals)|unclassified	84.7221035357
PWY-5972: stearate biosynthesis I (animals)|g__Staphylococcus.s__Staphylococcus_epidermidis	33.4391737425
PWY-5972: stearate biosynthesis I (animals)|g__Haemophilus.s__Haemophilus_parainfluenzae	22.6043642375
PWY-5972: stearate biosynthesis I (animals)|g__Staphylococcus.s__Staphylococcus_hominis	19.6232025215
PWY-5972: stearate biosynthesis I (animals)|g__Neisseria.s__Neisseria_sicca	11.0939314190
PWY-5972: stearate biosynthesis I (animals)|g__Corynebacterium.s__Corynebacterium_pseudogenitalium	10.3120318965
PWY-5972: stearate biosynthesis I (animals)|g__Pseudomonas.s__Pseudomonas_psychrotolerans	10.1560809703
PWY-5972: stearate biosynthesis I (animals)|g__Enterobacter.s__Enterobacter_cloacae	9.4428458539
PWY-5972: stearate biosynthesis I (animals)|g__Corynebacterium.s__Corynebacterium_tuberculostearicum	9.4136190624
PWY-5972: stearate biosynthesis I (animals)|g__Staphylococcus.s__Staphylococcus_haemolyticus	9.2433632652
PWY-5972: stearate biosynthesis I (animals)|g__Streptococcus.s__Streptococcus_sanguinis	8.6789618479
PWY-5972: stearate biosynthesis I (animals)|g__Enhydrobacter.s__Enhydrobacter_aerosaccus	5.5275161626
PWY-5972: stearate biosynthesis I (animals)|g__Haemophilus.s__Haemophilus_influenzae	5.2129599172
PWY-5972: stearate biosynthesis I (animals)|g__Staphylococcus.s__Staphylococcus_warneri	5.0058261882
PWY-5972: stearate biosynthesis I (animals)|g__Lactobacillus.s__Lactobacillus_curvatus	4.4302725887
PWY-5972: stearate biosynthesis I (animals)|g__Haemophilus.s__Haemophilus_haemolyticus	4.4249183542
PWY-5972: stearate biosynthesis I (animals)|g__Haemophilus.s__Haemophilus_paraphrohaemolyticus	4.2637076031
PWY-5972: stearate biosynthesis I (animals)|g__Prevotella.s__Prevotella_melaninogenica	4.1464187280
PWY-5972: stearate biosynthesis I (animals)|g__Gemella.s__Gemella_haemolysans	4.0288032682
PWY-5972: stearate biosynthesis I (animals)|g__Gemella.s__Gemella_sanguinis	3.5570958840
PWY-5972: stearate biosynthesis I (animals)|g__Malassezia.s__Malassezia_globosa	3.4722222222
PWY-5972: stearate biosynthesis I (animals)|g__Corynebacterium.s__Corynebacterium_accolens	3.2764105494
PWY-5972: stearate biosynthesis I (animals)|g__Streptococcus.s__Streptococcus_parasanguinis	2.9877698438
PWY-5972: stearate biosynthesis I (animals)|g__Lautropia.s__Lautropia_mirabilis	2.6281208936
PWY-5972: stearate biosynthesis I (animals)|g__Pseudomonas.s__Pseudomonas_fragi	2.6112021921
PWY-5972: stearate biosynthesis I (animals)|g__Neisseria.s__Neisseria_macacae	2.3992915433
PWY-5972: stearate biosynthesis I (animals)|g__Corynebacterium.s__Corynebacterium_matruchotii	2.2148394241
PWY-5972: stearate biosynthesis I (animals)|g__Fusobacterium.s__Fusobacterium_periodonticum	2.0100756962
PWY-5972: stearate biosynthesis I (animals)|g__Veillonella.s__Veillonella_dispar	1.9740222147
PWY-5972: stearate biosynthesis I (animals)|g__Kingella.s__Kingella_oralis	1.6813787306
PWY-5972: stearate biosynthesis I (animals)|g__Corynebacterium.s__Corynebacterium_jeikeium	1.6260162602
PWY-5972: stearate biosynthesis I (animals)|g__Staphylococcus.s__Staphylococcus_aureus	1.6126521671
PWY-5972: stearate biosynthesis I (animals)|g__Rhodopseudomonas.s__Rhodopseudomonas_palustris	1.5265074657
PWY-5972: stearate biosynthesis I (animals)|g__Escherichia.s__Escherichia_coli	1.4961304938
PWY-5972: stearate biosynthesis I (animals)|g__Acinetobacter.s__Acinetobacter_ursingii	1.4362006192
PWY-5972: stearate biosynthesis I (animals)|g__Staphylococcus.s__Staphylococcus_caprae_capitis	1.2322858903
PWY-5972: stearate biosynthesis I (animals)|g__Corynebacterium.s__Corynebacterium_durum	1.1415525114
PWY-5972: stearate biosynthesis I (animals)|g__Neisseria.s__Neisseria_meningitidis	0.8686069627
PWY-5972: stearate biosynthesis I (animals)|g__Neisseria.s__Neisseria_cinerea	0.6265705785
PWY-5972: stearate biosynthesis I (animals)|g__Cardiobacterium.s__Cardiobacterium_hominis	0.4380201489
PWY-5972: stearate biosynthesis I (animals)|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0.3472222222
PWY-6383: mono-trans, poly-cis decaprenyl phosphate biosynthesis	380.0127121021
PWY-6383: mono-trans, poly-cis decaprenyl phosphate biosynthesis|g__Propionibacterium.s__Propionibacterium_acnes	280.3971080530
PWY-6383: mono-trans, poly-cis decaprenyl phosphate biosynthesis|unclassified	21.7014131446
PWY-6383: mono-trans, poly-cis decaprenyl phosphate biosynthesis|g__Micrococcus.s__Micrococcus_luteus	11.6279069767
PWY-6383: mono-trans, poly-cis decaprenyl phosphate biosynthesis|g__Kocuria.s__Kocuria_rhizophila	4.4247787611
TRNA-CHARGING-PWY: tRNA charging	366.4979366223
TRNA-CHARGING-PWY: tRNA charging|unclassified	44.3127395610
CALVIN-PWY: Calvin-Benson-Bassham cycle	358.9144789281
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Propionibacterium.s__Propionibacterium_acnes	362.8882850033
CALVIN-PWY: Calvin-Benson-Bassham cycle|unclassified	46.7504735986
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Micrococcus.s__Micrococcus_luteus	9.7348518933
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Lactococcus.s__Lactococcus_lactis	9.0275371787
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Enhydrobacter.s__Enhydrobacter_aerosaccus	7.5508143034
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Kocuria.s__Kocuria_rhizophila	5.2397170553
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Enterobacter.s__Enterobacter_cloacae	2.7343613019
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Granulicatella.s__Granulicatella_elegans	2.7020834500
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Corynebacterium.s__Corynebacterium_jeikeium	2.1061161599
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Escherichia.s__Escherichia_coli	0.8974503179
COA-PWY: coenzyme A biosynthesis	338.5829554416
COA-PWY: coenzyme A biosynthesis|g__Propionibacterium.s__Propionibacterium_acnes	231.4533569865
COA-PWY: coenzyme A biosynthesis|unclassified	20.1007513555
COA-PWY: coenzyme A biosynthesis|g__Haemophilus.s__Haemophilus_parainfluenzae	5.5971105993
COA-PWY: coenzyme A biosynthesis|g__Pseudomonas.s__Pseudomonas_fragi	1.7271157168
THRESYN-PWY: threonine biosynthesis	325.1931658751
THRESYN-PWY: threonine biosynthesis|unclassified	21.9252892923
THRESYN-PWY: threonine biosynthesis|g__Corynebacterium.s__Corynebacterium_pseudogenitalium	10.0950579423
THRESYN-PWY: threonine biosynthesis|g__Corynebacterium.s__Corynebacterium_tuberculostearicum	8.6496822577
THRESYN-PWY: threonine biosynthesis|g__Haemophilus.s__Haemophilus_parainfluenzae	6.6698638271
THRESYN-PWY: threonine biosynthesis|g__Neisseria.s__Neisseria_sicca	4.0348909179
THRESYN-PWY: threonine biosynthesis|g__Corynebacterium.s__Corynebacterium_accolens	3.3500269232
THRESYN-PWY: threonine biosynthesis|g__Pseudomonas.s__Pseudomonas_psychrotolerans	2.7669591541
THRESYN-PWY: threonine biosynthesis|g__Enterobacter.s__Enterobacter_cloacae	1.4579810798
THRESYN-PWY: threonine biosynthesis|g__Corynebacterium.s__Corynebacterium_jeikeium	1.1666609274
THRESYN-PWY: threonine biosynthesis|g__Pseudomonas.s__Pseudomonas_fragi	0.6843927405
THRESYN-PWY: threonine biosynthesis|g__Haemophilus.s__Haemophilus_haemolyticus	0.4247044533
PWY-5139: pelargonidin conjugates biosynthesis	318.2326131910
PWY-5139: pelargonidin conjugates biosynthesis|unclassified	79.5718983423
PWY-5139: pelargonidin conjugates biosynthesis|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	79.0797839095
PWY-5139: pelargonidin conjugates biosynthesis|g__Corynebacterium.s__Corynebacterium_tuberculostearicum	37.5904492309
PWY-5139: pelargonidin conjugates biosynthesis|g__Staphylococcus.s__Staphylococcus_epidermidis	32.4040946247
PWY-5139: pelargonidin conjugates biosynthesis|g__Corynebacterium.s__Corynebacterium_pseudogenitalium	30.1449769546
PWY-5139: pelargonidin conjugates biosynthesis|g__Streptococcus.s__Streptococcus_sanguinis	28.0848229357
PWY-5139: pelargonidin conjugates biosynthesis|g__Haemophilus.s__Haemophilus_parainfluenzae	22.6043642375
PWY-5139: pelargonidin conjugates biosynthesis|g__Staphylococcus.s__Staphylococcus_hominis	18.5478403552
PWY-5139: pelargonidin conjugates biosynthesis|g__Corynebacterium.s__Corynebacterium_accolens	10.6759869302
PWY-5139: pelargonidin conjugates biosynthesis|g__Enterobacter.s__Enterobacter_cloacae	9.4428458539
PWY-5139: pelargonidin conjugates biosynthesis|g__Staphylococcus.s__Staphylococcus_haemolyticus	9.2433632652
PWY-5139: pelargonidin conjugates biosynthesis|g__Haemophilus.s__Haemophilus_haemolyticus	4.2836520625
PWY-5139: pelargonidin conjugates biosynthesis|g__Corynebacterium.s__Corynebacterium_durum	2.7048342664
PWY-5139: pelargonidin conjugates biosynthesis|g__Pseudomonas.s__Pseudomonas_fragi	2.6112021921
PWY-5139: pelargonidin conjugates biosynthesis|g__Staphylococcus.s__Staphylococcus_caprae_capitis	2.3682656221
PWY-5139: pelargonidin conjugates biosynthesis|g__Corynebacterium.s__Corynebacterium_matruchotii	2.2148394241
PWY-5139: pelargonidin conjugates biosynthesis|g__Streptococcus.s__Streptococcus_parasanguinis	1.7543859649
PWY-5139: pelargonidin conjugates biosynthesis|g__Corynebacterium.s__Corynebacterium_jeikeium	1.6260162602
PWY-5139: pelargonidin conjugates biosynthesis|g__Escherichia.s__Escherichia_coli	1.0874865445
P108-PWY: pyruvate fermentation to propionate I	308.6027573940
P108-PWY: pyruvate fermentation to propionate I|g__Propionibacterium.s__Propionibacterium_acnes	253.4526531920
P108-PWY: pyruvate fermentation to propionate I|g__Abiotrophia.s__Abiotrophia_defectiva	10.7526881720
P108-PWY: pyruvate fermentation to propionate I|g__Veillonella.s__Veillonella_parvula	4.9107915335
P108-PWY: pyruvate fermentation to propionate I|g__Granulicatella.s__Granulicatella_adiacens	3.5842293907
P108-PWY: pyruvate fermentation to propionate I|g__Rhodopseudomonas.s__Rhodopseudomonas_palustris	3.0653099879
P108-PWY: pyruvate fermentation to propionate I|g__Corynebacterium.s__Corynebacterium_durum	2.7100271003
P108-PWY: pyruvate fermentation to propionate I|g__Corynebacterium.s__Corynebacterium_matruchotii	1.9267822736
P108-PWY: pyruvate fermentation to propionate I|g__Propionibacterium.s__Propionibacterium_granulosum	1.8852423326
P108-PWY: pyruvate fermentation to propionate I|g__Veillonella.s__Veillonella_dispar	0.9715614077
VALSYN-PWY: valine biosynthesis	305.2045924789
VALSYN-PWY: valine biosynthesis|unclassified	49.6273708095
VALSYN-PWY: valine biosynthesis|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	36.8833385384
VALSYN-PWY: valine biosynthesis|g__Micrococcus.s__Micrococcus_luteus	13.4614707123
VALSYN-PWY: valine biosynthesis|g__Haemophilus.s__Haemophilus_parainfluenzae	12.0053156510
VALSYN-PWY: valine biosynthesis|g__Streptococcus.s__Streptococcus_sanguinis	9.4955065923
VALSYN-PWY: valine biosynthesis|g__Enhydrobacter.s__Enhydrobacter_aerosaccus	8.1531025606
VALSYN-PWY: valine biosynthesis|g__Staphylococcus.s__Staphylococcus_epidermidis	6.3056258005
VALSYN-PWY: valine biosynthesis|g__Lactococcus.s__Lactococcus_lactis	5.7393599481
VALSYN-PWY: valine biosynthesis|g__Corynebacterium.s__Corynebacterium_accolens	5.0854853836
VALSYN-PWY: valine biosynthesis|g__Kocuria.s__Kocuria_rhizophila	4.0238519444
VALSYN-PWY: valine biosynthesis|g__Staphylococcus.s__Staphylococcus_hominis	3.0770943610
VALSYN-PWY: valine biosynthesis|g__Streptococcus.s__Streptococcus_parasanguinis	2.5924578685
VALSYN-PWY: valine biosynthesis|g__Corynebacterium.s__Corynebacterium_aurimucosum	2.5707429904
VALSYN-PWY: valine biosynthesis|g__Pseudomonas.s__Pseudomonas_psychrotolerans	1.8990989264
VALSYN-PWY: valine biosynthesis|g__Streptococcus.s__Streptococcus_australis	1.6140143098
VALSYN-PWY: valine biosynthesis|g__Staphylococcus.s__Staphylococcus_haemolyticus	1.3610071453
PWY-7318: dTDP-3-acetamido-3,6-dideoxy-&alpha;-D-glucose biosynthesis	287.5970650139
PWY-7318: dTDP-3-acetamido-3,6-dideoxy-&alpha;-D-glucose biosynthesis|unclassified	79.1133992777
PWY-7318: dTDP-3-acetamido-3,6-dideoxy-&alpha;-D-glucose biosynthesis|g__Streptococcus.s__Streptococcus_sanguinis	11.6634648199
PWY-7318: dTDP-3-acetamido-3,6-dideoxy-&alpha;-D-glucose biosynthesis|g__Enterobacter.s__Enterobacter_cloacae	9.4428458539
PWY-7318: dTDP-3-acetamido-3,6-dideoxy-&alpha;-D-glucose biosynthesis|g__Pseudomonas.s__Pseudomonas_psychrotolerans	7.3152599137
PWY-7318: dTDP-3-acetamido-3,6-dideoxy-&alpha;-D-glucose biosynthesis|g__Lactobacillus.s__Lactobacillus_curvatus	4.4302725887
PWY-7318: dTDP-3-acetamido-3,6-dideoxy-&alpha;-D-glucose biosynthesis|g__Streptococcus.s__Streptococcus_parasanguinis	1.8289894833
PWY-7318: dTDP-3-acetamido-3,6-dideoxy-&alpha;-D-glucose biosynthesis|g__Corynebacterium.s__Corynebacterium_jeikeium	1.6260162602
PWY-7318: dTDP-3-acetamido-3,6-dideoxy-&alpha;-D-glucose biosynthesis|g__Corynebacterium.s__Corynebacterium_durum	1.5220700152
PWY-7318: dTDP-3-acetamido-3,6-dideoxy-&alpha;-D-glucose biosynthesis|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0.9771067886
TCA: TCA cycle I (prokaryotic)	285.8428658119
TCA: TCA cycle I (prokaryotic)|unclassified	46.6293312839
TCA: TCA cycle I (prokaryotic)|g__Staphylococcus.s__Staphylococcus_epidermidis	14.1875184738
TCA: TCA cycle I (prokaryotic)|g__Staphylococcus.s__Staphylococcus_hominis	5.2741100430
TCA: TCA cycle I (prokaryotic)|g__Kocuria.s__Kocuria_rhizophila	4.5520806616
TCA: TCA cycle I (prokaryotic)|g__Staphylococcus.s__Staphylococcus_haemolyticus	3.1548713575
TCA: TCA cycle I (prokaryotic)|g__Lautropia.s__Lautropia_mirabilis	2.9116765215
TCA: TCA cycle I (prokaryotic)|g__Enterobacter.s__Enterobacter_cloacae	2.2053700120
TCA: TCA cycle I (prokaryotic)|g__Rhodopseudomonas.s__Rhodopseudomonas_palustris	1.4213997179
TCA: TCA cycle I (prokaryotic)|g__Staphylococcus.s__Staphylococcus_warneri	1.2616096334
PWY-2941: lysine biosynthesis II	280.1365860968
PWY-2941: lysine biosynthesis II|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	47.7765128350
PWY-2941: lysine biosynthesis II|unclassified	19.0138253328
PWY-2941: lysine biosynthesis II|g__Streptococcus.s__Streptococcus_sanguinis	14.1174712487
PWY-2941: lysine biosynthesis II|g__Streptococcus.s__Streptococcus_thermophilus	11.0715650646
PWY-2941: lysine biosynthesis II|g__Staphylococcus.s__Staphylococcus_epidermidis	6.9156293223
PWY-2941: lysine biosynthesis II|g__Staphylococcus.s__Staphylococcus_hominis	5.5555555556
PWY-2941: lysine biosynthesis II|g__Lactococcus.s__Lactococcus_lactis	5.4021955995
PWY-2941: lysine biosynthesis II|g__Streptococcus.s__Streptococcus_salivarius	3.2948894932
PWY-2941: lysine biosynthesis II|g__Streptococcus.s__Streptococcus_parasanguinis	2.9185912453
PWY-2941: lysine biosynthesis II|g__Streptococcus.s__Streptococcus_infantis	2.2696808515
PWY-2941: lysine biosynthesis II|g__Streptococcus.s__Streptococcus_gordonii	2.1687743052
PWY-2941: lysine biosynthesis II|g__Gemella.s__Gemella_haemolysans	2.0659030686
PWY-2941: lysine biosynthesis II|g__Streptococcus.s__Streptococcus_cristatus	1.6161616162
PWY-2941: lysine biosynthesis II|g__Staphylococcus.s__Staphylococcus_warneri	1.3888888889
PWY-5686: UMP biosynthesis	270.8357880507
PWY-5686: UMP biosynthesis|unclassified	42.6285398500
PWY-5686: UMP biosynthesis|g__Corynebacterium.s__Corynebacterium_pseudogenitalium	8.5822887894
PWY-5686: UMP biosynthesis|g__Corynebacterium.s__Corynebacterium_tuberculostearicum	7.6068730463
PWY-5686: UMP biosynthesis|g__Micrococcus.s__Micrococcus_luteus	6.0519575405
PWY-5686: UMP biosynthesis|g__Neisseria.s__Neisseria_sicca	3.4811346223
PWY-5686: UMP biosynthesis|g__Corynebacterium.s__Corynebacterium_accolens	3.2402982419
PWY-5686: UMP biosynthesis|g__Pseudomonas.s__Pseudomonas_psychrotolerans	1.9132486916
PWY-5686: UMP biosynthesis|g__Lautropia.s__Lautropia_mirabilis	1.5610710281
PWY-6969: TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)	270.2165178800
PWY-6969: TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)|g__Propionibacterium.s__Propionibacterium_acnes	159.7198721777
PWY-6969: TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)|unclassified	38.7566863375
PWY-6969: TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)|g__Rhodopseudomonas.s__Rhodopseudomonas_palustris	4.3740101706
PWY-6969: TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)|g__Kocuria.s__Kocuria_rhizophila	3.0424588981
PWY-6969: TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)|g__Lautropia.s__Lautropia_mirabilis	1.9819435435
PWY-6969: TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)|g__Corynebacterium.s__Corynebacterium_aurimucosum	1.6995472815
PWY-6969: TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)|g__Enterobacter.s__Enterobacter_cloacae	1.3940274240
PWY-6969: TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)|g__Corynebacterium.s__Corynebacterium_jeikeium	1.1223162094
PWY-6969: TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)|g__Escherichia.s__Escherichia_coli	1.0867957993
PWY-5981: CDP-diacylglycerol biosynthesis III	262.0645352648
PWY-5981: CDP-diacylglycerol biosynthesis III|unclassified	36.1657347355
PWY-5981: CDP-diacylglycerol biosynthesis III|g__Haemophilus.s__Haemophilus_parainfluenzae	14.5654742236
PWY-5981: CDP-diacylglycerol biosynthesis III|g__Staphylococcus.s__Staphylococcus_epidermidis	12.8423037824
PWY-5981: CDP-diacylglycerol biosynthesis III|g__Corynebacterium.s__Corynebacterium_pseudogenitalium	11.9896627069
PWY-5981: CDP-diacylglycerol biosynthesis III|g__Streptococcus.s__Streptococcus_sanguinis	11.9182985079
PWY-5981: CDP-diacylglycerol biosynthesis III|g__Neisseria.s__Neisseria_sicca	10.8552651555
PWY-5981: CDP-diacylglycerol biosynthesis III|g__Corynebacterium.s__Corynebacterium_tuberculostearicum	7.6075155808
PWY-5981: CDP-diacylglycerol biosynthesis III|g__Staphylococcus.s__Staphylococcus_hominis	5.1690988942
PWY-5981: CDP-diacylglycerol biosynthesis III|g__Enhydrobacter.s__Enhydrobacter_aerosaccus	4.8911407809
PWY-5981: CDP-diacylglycerol biosynthesis III|g__Gemella.s__Gemella_haemolysans	3.9878390924
PWY-5981: CDP-diacylglycerol biosynthesis III|g__Staphylococcus.s__Staphylococcus_haemolyticus	3.2911748658
PWY-5981: CDP-diacylglycerol biosynthesis III|g__Corynebacterium.s__Corynebacterium_accolens	3.0460040446
PWY-5981: CDP-diacylglycerol biosynthesis III|g__Neisseria.s__Neisseria_macacae	2.4508445136
PWY-5981: CDP-diacylglycerol biosynthesis III|g__Corynebacterium.s__Corynebacterium_jeikeium	2.1082279745
PWY-5981: CDP-diacylglycerol biosynthesis III|g__Fusobacterium.s__Fusobacterium_periodonticum	1.9970170510
PWY-5981: CDP-diacylglycerol biosynthesis III|g__Lautropia.s__Lautropia_mirabilis	1.9550641259
PWY-5981: CDP-diacylglycerol biosynthesis III|g__Haemophilus.s__Haemophilus_influenzae	1.6409850239
PWY-5981: CDP-diacylglycerol biosynthesis III|g__Gemella.s__Gemella_sanguinis	1.5478340183
PWY-5981: CDP-diacylglycerol biosynthesis III|g__Corynebacterium.s__Corynebacterium_durum	1.4540167212
PWY-5981: CDP-diacylglycerol biosynthesis III|g__Streptococcus.s__Streptococcus_parasanguinis	1.2507817386
PWY-5981: CDP-diacylglycerol biosynthesis III|g__Escherichia.s__Escherichia_coli	1.0920342385
PWY-5981: CDP-diacylglycerol biosynthesis III|g__Enterobacter.s__Enterobacter_cloacae	0.9824557509
PWY-5981: CDP-diacylglycerol biosynthesis III|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0.6894707165
